# diffReps version: 1.55.4
## Parameter Settings ##
# Treatment files: output/filtered/DKO_CTCF_rep1.04_rm.bam.bed	output/filtered/DKO_CTCF_rep2.04_rm.bam.bed
# Control files: output/filtered/HCT116_CTCF_rep1.04_rm.bam.bed	output/filtered/HCT116_CTCF_rep2.04_rm.bam.bed	output/filtered/HCT116_CTCF_rep3.04_rm.bam.bed
# Treatment background: None Specified
# Control background: None Specified
# Output file: output/diffreps/report_win200_p0.0001.txt
# Statistical Test: Negative Binomial
# Use robust estimation: yes
# Number of deviation cutoff: 2
# Alpha in right-trimmed mean: 0.05
# P-value cutoff: 0.0001
# Window size: 200
# Step size: 20
# Gap size: 0
# Fragment size: 115
# Number of processors used: 20
# Full command used: /cm/shared/apps/perl5/bin/diffReps.pl --control output/filtered/HCT116_CTCF_rep1.04_rm.bam.bed output/filtered/HCT116_CTCF_rep2.04_rm.bam.bed output/filtered/HCT116_CTCF_rep3.04_rm.bam.bed --treatment output/filtered/DKO_CTCF_rep1.04_rm.bam.bed output/filtered/DKO_CTCF_rep2.04_rm.bam.bed --report output/diffreps/report_win200_p0.0001.txt --gname hg19 --meth nb --frag 115 --nproc 20 --window 200 --pval 0.0001 --noanno --nohs
# Split BED files done in 51 seconds.
# Estimate mean and deviation for read counts done in 232 seconds
## Important values estimated from data ##
# Read count statistics based on bin size: 200
# Treatment count mean: 0.43	0.34
# Control count mean: 0.55	0.61	0.39
# Treatment count deviation: 0.64	0.51
# Control count deviation: 0.82	0.90	0.57
# Treatment normalization constant: 0.85	0.73
# Control normalization constant: 1.10	1.70	0.92
## FDR control information ##
# Genome coverage for windows that passed cutoff: 179675820
# N used in BH adjustment: 898379
# Detecting differential sites done in 368 seconds
Chrom	Start	End	Length	Treatment.cnt	Control.cnt	Treatment.avg	Control.avg	Treatment.enr	Control.enr	Event	log2FC	pval	padj	winSta	winEnd	winFC	winP	winQ
chr1	1168101	1168360	260	9.40;2.75	0.00;0.00;0.00	6.07	0.00	NA	NA	Up	inf	5.00328637990044e-06	0.000715968049488464	1168101	1168300	inf	1.62696301110744e-05	0.00164320337600415
chr1	1179621	1179820	200	2.35;8.26	0.00;0.00;0.00	5.30	0.00	NA	NA	Up	inf	2.78572118551423e-05	0.00292637209181605	1179621	1179820	inf	2.78572118551423e-05	0.00260284286315246
chr1	1284441	1284720	280	15.27;12.39	0.00;0.59;7.63	13.83	2.74	NA	NA	Up	2.34	0.000150282221105639	0.0111211195646345	1284441	1284640	2.54	1.23078650566847e-05	0.00131210721511325
chr1	1290061	1290380	320	8.22;4.13	0.00;0.00;0.00	6.18	0.00	NA	NA	Up	inf	6.51865583096766e-06	0.00090095746257983	1290101	1290300	inf	6.51865583096766e-06	0.000775761492484951
chr1	1352741	1353080	340	10.57;11.01	2.73;0.00;1.09	10.79	1.27	NA	NA	Up	3.08	8.91754095790016e-07	0.000166694372205938	1352801	1353000	3.48	4.30069134127173e-08	1.03389103197226e-05
chr1	1355341	1355760	420	24.67;9.64	0.00;0.00;0.00	17.15	0.00	NA	NA	Up	inf	7.60270976355918e-09	5.49044597642808e-06	1355461	1355660	inf	5.78243631738095e-09	2.83847615269238e-06
chr1	1374861	1375280	420	11.75;15.14	0.91;0.00;0.00	13.44	0.30	NA	NA	Up	5.47	9.03481365640892e-09	5.79809786013583e-06	1374941	1375140	inf	5.70900698046867e-09	2.83803612550697e-06
chr1	1565641	1565900	260	3.52;9.64	0.91;0.00;0.00	6.58	0.30	NA	NA	Up	4.44	2.7057790905409e-05	0.00286146570168457	1565661	1565860	4.44	2.7057790905409e-05	0.00254322568903645
chr1	1647781	1648040	260	4.70;8.26	0.00;0.00;0.00	6.48	0.00	NA	NA	Up	inf	5.72187966306377e-06	0.000806972767633213	1647801	1648000	inf	5.72187966306377e-06	0.000694088108266752
chr1	1683561	1683940	380	14.09;13.77	1.82;2.93;0.00	13.93	1.58	NA	NA	Up	3.14	1.0054620005397e-07	2.75392056885017e-05	1683621	1683820	4.86	7.4808831550539e-09	3.02457053675153e-06
chr1	1684621	1685180	560	54.03;64.70	1.82;1.17;0.00	59.36	1.00	NA	NA	Up	5.89	1.55307095653432e-07	3.85001747478021e-05	1684721	1684920	inf	2.58380454001103e-09	2.83803612550697e-06
chr1	1689401	1689640	240	8.22;6.88	0.00;0.59;2.18	7.55	0.92	NA	NA	Up	3.03	2.62757302653204e-05	0.00278878259644129	1689441	1689640	3.24	1.03704597474919e-05	0.00113456017782332
chr1	1695661	1696000	340	10.57;16.52	1.82;2.35;4.36	13.54	2.84	NA	NA	Up	2.25	1.34853198235118e-05	0.00163252613320977	1695761	1695960	2.51	2.41586022444763e-06	0.000342489836291469
chr1	1709501	1709860	360	17.62;9.64	0.00;2.35;4.36	13.63	2.24	NA	NA	Up	2.61	6.08755777386858e-07	0.000120667635299178	1709541	1709740	3.16	1.40245391287852e-06	0.000210199390023005
chr1	1756141	1756600	460	27.01;15.14	1.82;0.59;1.09	21.08	1.17	NA	NA	Up	4.18	6.81718429363789e-08	2.07758095447442e-05	1756361	1756560	3.76	1.37930753410494e-08	4.36010177051956e-06
chr1	1830561	1830940	380	22.32;27.53	5.46;0.59;13.08	24.92	6.38	NA	NA	Up	1.97	3.19045391979225e-05	0.00326822896466254	1830581	1830780	3.38	9.24535655615221e-08	1.99132922022524e-05
chr1	1840461	1840700	240	89.26;86.72	16.39;32.28;61.04	87.99	36.57	NA	NA	Up	1.27	3.6784255521062e-05	0.00367588461521203	1840501	1840700	1.25	4.69073019615157e-05	0.00401797626133529
chr1	1905661	1906100	440	31.71;23.40	2.73;2.93;0.00	27.56	1.89	NA	NA	Up	3.87	3.27781770177466e-08	1.26873011163404e-05	1905741	1905940	4.82	3.05588036090379e-09	2.83803612550697e-06
chr1	1912561	1912940	380	8.22;12.39	0.00;0.00;0.00	10.31	0.00	NA	NA	Up	inf	1.5702155322539e-08	7.75081681126775e-06	1912621	1912820	inf	1.5702155322539e-08	4.79435928407795e-06
chr1	1986121	1986480	360	9.40;12.39	0.91;0.59;4.36	10.89	1.95	NA	NA	Up	2.48	2.64253436391955e-06	0.000423549933866848	1986181	1986380	2.99	4.86461627755843e-07	8.33066928482018e-05
chr1	2018741	2019040	300	8.22;8.26	0.00;0.59;0.00	8.24	0.20	NA	NA	Up	5.40	1.22982116952682e-06	0.000221690341234266	2018761	2018960	5.15	1.20711602002297e-05	0.00129351972121409
chr1	2023021	2023480	460	65.77;63.32	11.83;9.98;22.89	64.55	14.90	NA	NA	Up	2.12	2.94040821897545e-09	5.31346665978693e-06	2023201	2023400	2.30	1.31982940334132e-09	2.83803612550697e-06
chr1	2023561	2023780	220	8.22;5.51	0.91;0.00;1.09	6.86	0.67	NA	NA	Up	3.36	1.03694672896407e-05	0.00132092004830196	2023561	2023760	3.36	1.03694672896407e-05	0.00113456017782332
chr1	2029821	2030160	340	8.22;13.77	0.00;0.00;0.00	10.99	0.00	NA	NA	Up	inf	1.69412718920681e-08	8.08697284863136e-06	2029861	2030060	inf	3.16222756769004e-08	8.08445885040925e-06
chr1	2036001	2036340	340	11.75;16.52	2.73;1.76;2.18	14.13	2.22	NA	NA	Up	2.67	2.05338931511005e-07	4.81650610840536e-05	2036061	2036260	2.91	3.05688239324956e-07	5.61832845246552e-05
chr1	2046061	2046500	440	23.49;20.65	0.00;0.59;1.09	22.07	0.56	NA	NA	Up	5.30	6.4692590777693e-09	5.34946367652056e-06	2046221	2046420	inf	2.88466870660203e-09	2.83803612550697e-06
chr1	2062461	2062860	400	23.49;15.14	0.91;2.35;1.09	19.32	1.45	NA	NA	Up	3.74	4.76914055344821e-08	1.64778035430555e-05	2062601	2062800	4.20	2.72498548019888e-09	2.83803612550697e-06
chr1	2107421	2107800	380	10.57;11.01	0.91;0.59;0.00	10.79	0.50	NA	NA	Up	4.43	2.77141529104741e-08	1.11950597920678e-05	2107501	2107700	5.06	4.68912811146945e-08	1.10829103489971e-05
chr1	2144161	2144360	200	15.27;22.03	3.64;5.87;9.81	18.65	6.44	NA	NA	Up	1.53	9.42111771441229e-05	0.00722469851571148	2144161	2144360	1.53	9.42111771441229e-05	0.00680419190542326
chr1	2158941	2159280	340	15.27;6.88	1.82;1.17;2.18	11.08	1.72	NA	NA	Up	2.68	8.11718893127446e-06	0.00108726883478298	2158961	2159160	3.51	6.06430494783571e-07	0.000101245943407019
chr1	2199801	2200200	400	12.92;13.77	0.00;0.59;1.09	13.34	0.56	NA	NA	Up	4.58	6.97499494230288e-09	5.38351719672443e-06	2199841	2200040	4.35	9.12085676883518e-09	3.29737874572611e-06
chr1	2237961	2238420	460	14.09;24.78	0.00;0.00;0.00	19.44	0.00	NA	NA	Up	inf	3.42842641360822e-08	1.31232479464463e-05	2238141	2238340	inf	4.71829328822043e-09	2.83803612550697e-06
chr1	2279441	2279840	400	12.92;15.14	0.91;0.59;2.18	14.03	1.23	NA	NA	Up	3.52	1.00745578110776e-08	5.99624056507806e-06	2279581	2279780	4.36	1.03749566666216e-08	3.5430347333623e-06
chr1	2339761	2340220	460	37.59;46.80	2.73;1.76;2.18	42.19	2.22	NA	NA	Up	4.25	1.19069930975548e-07	3.13128807763878e-05	2339941	2340140	5.15	1.87091788375933e-09	2.83803612550697e-06
chr1	2375201	2375700	500	54.03;44.05	4.55;7.63;13.08	49.04	8.42	NA	NA	Up	2.54	2.15851355959893e-08	9.47319615612566e-06	2375421	2375620	2.37	2.26517734713955e-09	2.83803612550697e-06
chr1	2391121	2391500	380	23.49;19.27	3.64;0.59;8.72	21.38	4.32	NA	NA	Up	2.31	4.02422695152184e-08	1.47022406851616e-05	2391161	2391360	2.40	2.42520927236087e-08	6.58433690206797e-06
chr1	2431741	2432100	360	9.40;8.26	0.91;0.59;1.09	8.83	0.86	NA	NA	Up	3.36	8.63351270183077e-06	0.00114409849341086	2431781	2431980	inf	1.35333964417832e-06	0.00020428593053306
chr1	2445301	2445740	440	25.84;33.04	2.73;1.76;0.00	29.44	1.50	NA	NA	Up	4.30	2.50545618276776e-08	1.045447849521e-05	2445341	2445540	5.96	3.75503791359818e-09	2.83803612550697e-06
chr1	2452601	2453080	480	32.89;24.78	0.91;1.76;2.18	28.83	1.62	NA	NA	Up	4.16	3.94997219037098e-08	1.45314171433796e-05	2452801	2453000	4.78	3.0720490746525e-09	2.83803612550697e-06
chr1	2455081	2455540	460	27.01;19.27	2.73;0.59;3.27	23.14	2.20	NA	NA	Up	3.40	5.93052679285215e-08	1.91353632943811e-05	2455221	2455420	3.85	5.34163734917569e-09	2.83803612550697e-06
chr1	2460721	2461100	380	11.75;11.01	0.00;0.59;1.09	11.38	0.56	NA	NA	Up	4.35	9.12085676883518e-09	5.80310636198965e-06	2460761	2460960	5.79	1.92155135933564e-08	5.52233329702046e-06
chr1	2483081	2483400	320	10.57;9.64	1.82;1.76;1.09	10.10	1.56	NA	NA	Up	2.70	1.22404119582893e-05	0.00151242297733481	2483141	2483340	3.04	1.64491520982844e-05	0.00165946915361085
chr1	2488741	2489020	280	12.92;12.39	1.82;2.35;6.54	12.65	3.57	NA	NA	Up	1.83	6.34785730800404e-05	0.00546841092971594	2488781	2488980	2.22	1.85973738040133e-05	0.00183571881109775
chr1	2501181	2501460	280	5.87;8.26	0.00;0.59;0.00	7.07	0.20	NA	NA	Up	5.17	1.20726878418042e-05	0.00150197285086842	2501221	2501420	5.17	1.20726878418042e-05	0.00129351972121409
chr1	2509841	2510260	420	29.36;24.78	4.55;5.28;3.27	27.07	4.37	NA	NA	Up	2.63	2.22146847948256e-09	5.31346665978693e-06	2509941	2510140	3.34	2.25058200860593e-09	2.83803612550697e-06
chr1	2570561	2570760	200	5.87;6.88	0.91;0.59;1.09	6.38	0.86	NA	NA	Up	2.89	8.44722416186339e-05	0.00660323632746257	2570561	2570760	2.89	8.44722416186339e-05	0.00617401522221992
chr1	2704021	2704440	420	30.54;19.27	2.73;1.76;5.45	24.90	3.31	NA	NA	Up	2.91	1.12427722669004e-07	2.98541597792395e-05	2704221	2704420	4.15	2.96187401378925e-08	7.69473301528573e-06
chr1	2716561	2716920	360	14.09;6.88	1.82;0.00;1.09	10.49	0.97	NA	NA	Up	3.43	1.31527589704946e-07	3.38475005762072e-05	2716621	2716820	3.98	8.27181118055013e-08	1.80676427341878e-05
chr1	2717261	2717540	280	8.22;8.26	0.91;1.17;0.00	8.24	0.69	NA	NA	Up	3.57	4.48487328583602e-06	0.00065998137208837	2717321	2717520	3.80	1.03684760731741e-05	0.00113456017782332
chr1	2756981	2757360	380	27.01;22.03	7.28;5.28;3.27	24.52	5.28	NA	NA	Up	2.22	7.64114951225283e-09	5.50145032328401e-06	2757061	2757260	2.55	4.04963003187832e-09	2.83803612550697e-06
chr1	2792401	2792900	500	44.63;57.82	5.46;5.28;3.27	51.22	4.67	NA	NA	Up	3.45	6.06474219049494e-07	0.000120248003185934	2792541	2792740	3.89	2.34691154968622e-09	2.83803612550697e-06
chr1	2829761	2830120	360	10.57;16.52	2.73;1.76;2.18	13.54	2.22	NA	NA	Up	2.61	1.43461851327781e-06	0.000250940643563085	2829821	2830020	3.25	2.57766490000948e-07	4.84257635969388e-05
chr1	2862881	2863200	320	35.24;20.65	11.83;14.67;8.72	27.94	11.74	NA	NA	Up	1.25	0.000259837344900968	0.0189751596549169	2862941	2863140	1.70	2.03406724509452e-06	0.000292518536510448
chr1	2866601	2866840	240	8.22;6.88	0.00;1.17;0.00	7.55	0.39	NA	NA	Up	4.27	2.30088449961355e-05	0.0025100697930592	2866641	2866840	4.15	1.03671005534244e-05	0.00113456017782332
chr1	2976721	2977100	380	9.40;15.14	0.91;0.59;2.18	12.27	1.23	NA	NA	Up	3.32	9.33746911067955e-08	2.610826692245e-05	2976821	2977020	3.99	2.37567819017824e-08	6.49698446518764e-06
chr1	2982641	2983220	580	57.55;64.70	3.64;1.17;2.18	61.13	2.33	NA	NA	Up	4.71	2.27961340724083e-08	9.80352710954339e-06	2982781	2982980	4.57	1.81258520240003e-09	2.83803612550697e-06
chr1	2986141	2986480	340	29.36;44.05	12.74;6.46;19.62	36.71	12.94	NA	NA	Up	1.50	4.41088478775552e-05	0.00425907810053634	2986161	2986360	1.62	4.95893666071556e-07	8.4695904150513e-05
chr1	2999661	3000040	380	10.57;11.01	0.00;2.35;0.00	10.79	0.78	NA	NA	Up	3.79	8.84078415629799e-07	0.000166158469237465	2999721	2999920	4.50	4.53839109839159e-07	7.97573892669049e-05
chr1	3089101	3089380	280	7.05;8.26	0.00;1.76;1.09	7.65	0.95	NA	NA	Up	3.01	4.49202666557864e-05	0.00428189077566941	3089181	3089380	3.44	8.44685570245971e-05	0.00617401522221992
chr1	3123961	3124160	200	5.87;6.88	0.91;0.59;0.00	6.38	0.50	NA	NA	Up	3.68	6.52973999619158e-05	0.00553168596158744	3123961	3124160	3.68	6.52973999619158e-05	0.0050362827204227
chr1	3266241	3266660	420	41.11;38.54	11.83;11.15;8.72	39.83	10.57	NA	NA	Up	1.91	3.00332768181789e-09	5.31346665978693e-06	3266381	3266580	2.04	5.47637514549253e-09	2.83803612550697e-06
chr1	3339141	3339500	360	9.40;8.26	0.00;0.00;0.00	8.83	0.00	NA	NA	Up	inf	4.08105897104235e-08	1.48254657393694e-05	3339201	3339400	inf	1.32227014553152e-07	2.72454066759739e-05
chr1	3356241	3356560	320	7.05;9.64	0.00;0.00;1.09	8.34	0.36	NA	NA	Up	4.52	1.23429080817329e-06	0.000221860932764288	3356261	3356460	inf	1.35549521071571e-06	0.00020428593053306
chr1	3388341	3388680	340	29.36;30.28	9.10;10.56;9.81	29.82	9.83	NA	NA	Up	1.60	9.10686534567127e-07	0.000169834945626131	3388461	3388660	1.73	8.46797853387892e-07	0.000136114762699725
chr1	3408321	3408600	280	22.32;33.04	8.19;11.15;14.17	27.68	11.17	NA	NA	Up	1.31	7.46597356904164e-05	0.00612256857049937	3408341	3408540	1.43	3.98857940393888e-05	0.00351334050037377
chr1	3449941	3450440	500	37.59;27.53	1.82;4.11;5.45	32.56	3.79	NA	NA	Up	3.10	6.93705869865568e-08	2.10331011023948e-05	3450181	3450380	3.33	1.94900783869539e-08	5.57913355851174e-06
chr1	3546961	3547160	200	5.87;4.13	0.00;0.00;0.00	5.00	0.00	NA	NA	Up	inf	5.07411288493241e-05	0.00465021738687474	3546961	3547160	inf	5.07411288493241e-05	0.00420768700789487
chr1	3553441	3553780	340	5.87;9.64	0.00;1.17;1.09	7.75	0.75	NA	NA	Up	3.36	3.38428778859551e-05	0.0034393485901087	3553461	3553660	inf	5.53546992078042e-07	9.32865065487564e-05
chr1	3559901	3560180	280	2.35;11.01	0.91;0.00;0.00	6.68	0.30	NA	NA	Up	4.46	1.53272022214497e-05	0.00181394237972649	3559921	3560120	4.46	1.53272022214497e-05	0.00158362698154155
chr1	3589881	3590160	280	14.09;8.26	0.91;0.59;4.36	11.18	1.95	NA	NA	Up	2.52	7.21701025267283e-06	0.000983855911044911	3589921	3590120	3.77	3.87863605055447e-07	7.00258275012273e-05
chr1	3593681	3593980	300	9.40;2.75	0.00;0.00;0.00	6.07	0.00	NA	NA	Up	inf	5.00328637990044e-06	0.000715968049488464	3593721	3593920	inf	1.62696301110744e-05	0.00164320337600415
chr1	3606541	3606940	400	22.32;24.78	3.64;5.87;5.45	23.55	4.99	NA	NA	Up	2.24	1.29329054806622e-08	6.83000723695661e-06	3606561	3606760	2.10	3.09654731056999e-06	0.0004238721737502
chr1	3643761	3644300	540	71.65;67.45	0.00;0.59;3.27	69.55	1.29	NA	NA	Up	5.76	3.97192449604627e-08	1.46002191359802e-05	3644061	3644260	inf	1.34149637496586e-09	2.83803612550697e-06
chr1	3702081	3702400	320	74.00;79.84	47.33;32.86;44.69	76.92	41.63	NA	NA	Up	0.89	1.27252279791283e-05	0.00156282673775274	3702081	3702280	0.89	4.49684702716655e-06	0.000574888450031184
chr1	3727441	3727660	220	9.40;8.26	2.73;0.59;1.09	8.83	1.47	NA	NA	Up	2.59	2.37491493257952e-05	0.00257406562737322	3727441	3727640	2.92	1.43580906120523e-05	0.00149372796784491
chr1	3731441	3731860	420	18.79;8.26	0.00;0.00;0.00	13.53	0.00	NA	NA	Up	inf	8.17714140918654e-09	5.59061250860417e-06	3731501	3731700	inf	7.76394972423796e-09	3.05651594623627e-06
chr1	3744421	3744620	200	22.32;11.01	6.37;6.46;2.18	16.66	5.00	NA	NA	Up	1.74	7.52083292598745e-05	0.00616056604532866	3744421	3744620	1.74	7.52083292598745e-05	0.0056959689455536
chr1	3786441	3786720	280	9.40;6.88	1.82;1.17;0.00	8.14	1.00	NA	NA	Up	3.03	7.09183006309807e-05	0.00586896582775787	3786521	3786720	2.92	4.49196538447066e-05	0.00386013047166831
chr1	3823821	3824140	320	42.28;46.80	13.65;9.39;27.25	44.54	16.76	NA	NA	Up	1.41	0.000101719561554076	0.0077051195606568	3823921	3824120	1.59	6.95928966824718e-07	0.000114172382996169
chr1	3830981	3831260	280	12.92;6.88	0.91;1.76;1.09	9.90	1.25	NA	NA	Up	2.98	1.68501205747894e-05	0.00194348369134148	3831021	3831220	3.53	1.02489510548494e-05	0.00113456017782332
chr1	4108181	4108440	260	5.87;6.88	0.91;0.00;0.00	6.38	0.30	NA	NA	Up	4.39	3.63341079929689e-05	0.0036346546048054	4108181	4108380	inf	1.5710516740983e-05	0.00159800158900048
chr1	4233301	4233500	200	28.19;17.90	5.46;9.98;10.90	23.04	8.78	NA	NA	Up	1.39	8.3469217311791e-05	0.00660323632746257	4233301	4233500	1.39	8.3469217311791e-05	0.00617401522221992
chr1	4422721	4423060	340	11.75;11.01	1.82;2.93;1.09	11.38	1.95	NA	NA	Up	2.55	9.16916696125239e-06	0.0012041423072508	4422781	4422980	3.72	8.76242673448406e-08	1.90098530965928e-05
chr1	4482581	4482960	380	11.75;15.14	2.73;1.76;1.09	13.44	1.86	NA	NA	Up	2.85	4.69741270186016e-07	9.71020921694531e-05	4482601	4482800	3.86	2.36369492626588e-07	4.52384721807375e-05
chr1	4615621	4616000	380	21.14;9.64	2.73;3.52;2.18	15.39	2.81	NA	NA	Up	2.45	1.1984478410562e-06	0.000217199994553203	4615701	4615900	2.49	4.31876608863293e-06	0.000564183329931651
chr1	4716381	4716700	320	35.24;33.04	12.74;18.78;3.27	34.14	11.60	NA	NA	Up	1.56	0.000615834418609206	0.0444272632422484	4716501	4716700	1.84	2.74624905472356e-06	0.000380619018749382
chr1	4760921	4761240	320	11.75;6.88	2.73;1.17;0.00	9.31	1.30	NA	NA	Up	2.84	1.00791608388097e-05	0.00130361451701829	4761021	4761220	4.64	4.01201767403424e-06	0.000528404818645877
chr1	5779241	5779560	320	25.84;15.14	4.55;4.11;11.99	20.49	6.88	NA	NA	Up	1.57	0.000246805184015155	0.0180351874418701	5779301	5779500	2.01	4.55359166460347e-07	7.97573892669049e-05
chr1	5918961	5919280	320	8.22;16.52	2.73;1.17;3.27	12.37	2.39	NA	NA	Up	2.37	1.46304524867663e-05	0.00174088626153757	5919041	5919240	2.53	9.53852307026129e-06	0.00108704919666856
chr1	5920261	5920680	420	14.09;22.03	0.00;1.17;1.09	18.06	0.75	NA	NA	Up	4.58	7.96923859561447e-08	2.32750214573782e-05	5920381	5920580	6.35	6.71402537841246e-09	2.94551260426865e-06
chr1	5968521	5968920	400	8.22;17.90	0.91;1.17;0.00	13.06	0.69	NA	NA	Up	4.23	3.87011531251212e-08	1.43492790934351e-05	5968601	5968800	4.73	3.36294592640064e-07	6.13940255723203e-05
chr1	5987161	5987420	260	9.40;6.88	0.00;1.17;1.09	8.14	0.75	NA	NA	Up	3.43	4.48442173691506e-06	0.00065998137208837	5987201	5987400	3.32	2.62729474710879e-05	0.00247472582446017
chr1	6010701	6010900	200	3.52;9.64	0.00;0.59;1.09	6.58	0.56	NA	NA	Up	3.56	6.22937387555771e-05	0.00538679244677029	6010701	6010900	3.56	6.22937387555771e-05	0.00490820792225018
chr1	6033841	6034200	360	9.40;9.64	2.73;0.00;0.00	9.52	0.91	NA	NA	Up	3.39	1.46559003713702e-06	0.00025464124680551	6033961	6034160	4.76	1.23136181749048e-06	0.000189840941954445
chr1	6052641	6052940	300	9.40;8.26	1.82;1.17;1.09	8.83	1.36	NA	NA	Up	2.70	2.37476461914916e-05	0.00257406562737322	6052641	6052840	2.70	2.37476461914916e-05	0.00227716369148008
chr1	6088641	6089000	360	18.79;12.39	1.82;3.52;2.18	15.59	2.51	NA	NA	Up	2.64	5.74103655196911e-07	0.00011453756776641	6088761	6088960	2.78	1.61471081219819e-07	3.24198174294261e-05
chr1	6140721	6141080	360	39.93;45.43	23.67;17.02;16.35	42.68	19.01	NA	NA	Up	1.17	1.72115969801915e-05	0.00198059911406013	6140821	6141020	1.36	9.50349125025977e-06	0.00108367470064209
chr1	6214801	6215180	380	14.09;11.01	1.82;0.59;3.27	12.55	1.89	NA	NA	Up	2.73	1.80907113703326e-07	4.32304411313494e-05	6214901	6215100	2.84	3.0505834634173e-07	5.61134340966702e-05
chr1	6240501	6240700	200	25.84;22.03	2.73;3.52;13.08	23.93	6.44	NA	NA	Up	1.89	3.49724696935008e-05	0.00353812301247495	6240501	6240700	1.89	3.49724696935008e-05	0.00318646372725939
chr1	6268621	6269700	1080	118.63;100.49	6.37;2.93;7.63	109.56	5.65	NA	NA	Up	4.28	7.19818617428133e-07	0.000139488768271456	6268841	6269040	6.84	1.56895680428583e-09	2.83803612550697e-06
chr1	6269741	6270040	300	30.54;34.41	15.47;11.15;17.44	32.48	14.69	NA	NA	Up	1.14	5.06504065122498e-05	0.00465021738687474	6269841	6270040	1.30	9.82679837185472e-06	0.00111640873043894
