# diffReps version: 1.55.4
## Parameter Settings ##
# Treatment files: output/filtered/DKO_CTCF_rep1.04_rm.bam.bed	output/filtered/DKO_CTCF_rep2.04_rm.bam.bed
# Control files: output/filtered/HCT116_CTCF_rep1.04_rm.bam.bed	output/filtered/HCT116_CTCF_rep2.04_rm.bam.bed	output/filtered/HCT116_CTCF_rep3.04_rm.bam.bed
# Treatment background: None Specified
# Control background: None Specified
# Output file: output/diffreps/report_win150_p0.0001.txt
# Statistical Test: Negative Binomial
# Use robust estimation: yes
# Number of deviation cutoff: 2
# Alpha in right-trimmed mean: 0.05
# P-value cutoff: 0.0001
# Window size: 150
# Step size: 15
# Gap size: 0
# Fragment size: 115
# Number of processors used: 20
# Full command used: /cm/shared/apps/perl5/bin/diffReps.pl --control output/filtered/HCT116_CTCF_rep1.04_rm.bam.bed output/filtered/HCT116_CTCF_rep2.04_rm.bam.bed output/filtered/HCT116_CTCF_rep3.04_rm.bam.bed --treatment output/filtered/DKO_CTCF_rep1.04_rm.bam.bed output/filtered/DKO_CTCF_rep2.04_rm.bam.bed --report output/diffreps/report_win150_p0.0001.txt --gname hg19 --meth nb --frag 115 --nproc 20 --window 150 --pval 0.0001 --noanno --nohs
# Split BED files done in 49 seconds.
# Estimate mean and deviation for read counts done in 251 seconds
## Important values estimated from data ##
# Read count statistics based on bin size: 150
# Treatment count mean: 0.32	0.24
# Control count mean: 0.41	0.44	0.28
# Treatment count deviation: 0.47	0.35
# Control count deviation: 0.60	0.66	0.41
# Treatment normalization constant: 0.88	0.71
# Control normalization constant: 1.09	1.69	0.94
## FDR control information ##
# Genome coverage for windows that passed cutoff: 264703965
# N used in BH adjustment: 1764693
# Detecting differential sites done in 483 seconds
Chrom	Start	End	Length	Treatment.cnt	Control.cnt	Treatment.avg	Control.avg	Treatment.enr	Control.enr	Event	log2FC	pval	padj	winSta	winEnd	winFC	winP	winQ
chr1	2023066	2023470	405	63.52;64.87	10.13;8.86;21.20	64.20	13.40	NA	NA	Up	2.26	2.55086201862542e-09	1.00052459953312e-05	2023216	2023365	2.36	1.49879335820713e-09	5.51959329387533e-06
chr1	2029831	2030115	285	7.94;14.10	0.00;0.00;0.00	11.02	0.00	NA	NA	Up	inf	1.77725529819132e-08	1.61999482641071e-05	2029936	2030085	inf	3.14063272086226e-08	1.65588663820633e-05
chr1	2036056	2036325	270	11.34;15.51	2.76;1.18;2.12	13.43	2.02	NA	NA	Up	2.73	4.78907907775349e-07	0.000192906969298289	2036146	2036295	2.74	4.1154834188626e-06	0.00111604325073533
chr1	2040136	2040285	150	39.70;35.26	15.65;18.32;18.02	37.48	17.33	NA	NA	Up	1.11	7.70425561203082e-05	0.0127778627337984	2040136	2040285	1.11	7.70425561203082e-05	0.0120486050591647
chr1	2046106	2046450	345	21.55;19.74	0.00;0.59;0.00	20.65	0.20	NA	NA	Up	6.71	2.93475131133696e-09	1.00052459953312e-05	2046196	2046345	6.67	3.45476283677791e-09	5.51959329387533e-06
chr1	2062501	2062815	315	21.55;15.51	0.92;2.36;0.00	18.53	1.09	NA	NA	Up	4.08	1.07333933878169e-08	1.19282028838415e-05	2062561	2062710	4.88	3.38048928985869e-09	5.51959329387533e-06
chr1	2107456	2107740	285	10.21;9.87	0.92;0.00;0.00	10.04	0.31	NA	NA	Up	5.03	5.02482306307908e-08	3.29026719319266e-05	2107546	2107695	4.84	4.34191026614032e-07	0.000162621943137806
chr1	2158996	2159235	240	13.61;5.64	1.84;1.18;2.12	9.63	1.71	NA	NA	Up	2.49	2.70925624181589e-05	0.00567074549298873	2159011	2159160	3.40	3.54062242028205e-06	0.00097398466106232
chr1	2199841	2200155	315	11.34;14.10	0.00;0.59;1.06	12.72	0.55	NA	NA	Up	4.53	1.06468136798506e-08	1.18688297998336e-05	2199886	2200035	4.29	2.84748765761174e-08	1.53950414735718e-05
chr1	2238001	2238360	360	13.61;22.56	0.00;0.00;0.00	18.09	0.00	NA	NA	Up	inf	3.40766349465345e-08	2.52255225937044e-05	2238061	2238210	inf	9.86668233458275e-09	7.00107167232081e-06
chr1	2246641	2246790	150	81.67;77.56	19.34;14.77;67.85	79.62	33.98	NA	NA	Up	1.23	7.53591877584184e-05	0.0125292850125275	2246641	2246790	1.23	7.53591877584184e-05	0.0118073187537039
chr1	2279491	2279820	330	12.48;14.10	0.00;0.59;1.06	13.29	0.55	NA	NA	Up	4.59	6.93396628934572e-09	1.02096690207817e-05	2279581	2279730	4.31	3.08515522959535e-08	1.63543161237017e-05
chr1	2339806	2340180	375	36.30;45.13	2.76;1.77;1.06	40.71	1.86	NA	NA	Up	4.45	7.58887611936961e-08	4.43591804098003e-05	2339941	2340090	5.80	2.45323547106156e-09	5.51959329387533e-06
chr1	2375251	2375655	405	48.78;43.72	4.60;7.68;12.72	46.25	8.34	NA	NA	Up	2.47	2.08115711009866e-09	1.00052459953312e-05	2375386	2375535	2.31	2.81420075775578e-09	5.51959329387533e-06
chr1	2391166	2391450	285	22.69;19.74	3.68;0.59;8.48	21.22	4.25	NA	NA	Up	2.32	1.07397404496324e-07	5.73097816549236e-05	2391211	2391360	2.32	3.76911793532744e-08	1.92346328416622e-05
chr1	2431816	2432040	225	7.94;7.05	0.92;0.59;0.00	7.50	0.50	NA	NA	Up	3.89	2.29415895132812e-05	0.00500875965751886	2431831	2431980	inf	1.4360877698038e-06	0.000441340055643477
chr1	2445346	2445705	360	24.96;33.85	1.84;1.77;0.00	29.40	1.20	NA	NA	Up	4.61	1.43494947202917e-07	7.17349940125658e-05	2445391	2445540	5.93	3.3751389069949e-09	5.51959329387533e-06
chr1	2452636	2453040	405	30.63;25.38	0.92;1.77;2.12	28.01	1.60	NA	NA	Up	4.13	1.93412509740298e-09	1.00052459953312e-05	2452816	2452965	4.65	3.09584252825358e-09	5.51959329387533e-06
chr1	2455156	2455500	345	23.82;19.74	1.84;0.59;3.18	21.78	1.87	NA	NA	Up	3.54	4.94043274552884e-09	1.00052459953312e-05	2455246	2455395	3.73	5.07073083559806e-09	5.51959329387533e-06
chr1	2460766	2461050	285	11.34;11.28	0.00;0.59;0.00	11.31	0.20	NA	NA	Up	5.84	1.03793713341272e-08	1.17262509204449e-05	2460871	2461020	inf	4.24259265351331e-08	2.10069403970437e-05
chr1	2483131	2483385	255	10.21;9.87	0.92;1.77;1.06	10.04	1.25	NA	NA	Up	3.00	7.81968207627666e-06	0.00208350078104417	2483131	2483280	3.46	4.51717745355539e-06	0.00118653945411271
chr1	2488801	2488980	180	10.21;8.46	0.92;0.00;4.24	9.34	1.72	NA	NA	Up	2.44	6.76676077916623e-06	0.00183513990774077	2488801	2488950	2.35	4.2995715714402e-05	0.00770140464384848
chr1	2501236	2501415	180	5.67;8.46	0.00;0.59;0.00	7.07	0.20	NA	NA	Up	5.17	1.27980889007895e-05	0.00311094428360375	2501266	2501415	inf	1.23927188848334e-05	0.00272753108843019
chr1	2509891	2510205	315	27.22;25.38	3.68;4.73;2.12	26.30	3.51	NA	NA	Up	2.91	2.03471679845931e-09	1.00052459953312e-05	2509936	2510085	3.64	2.13294185839134e-09	5.51959329387533e-06
chr1	2704066	2704380	315	28.36;18.33	2.76;1.77;4.24	23.35	2.93	NA	NA	Up	3.00	7.12465872736036e-08	4.22474307243338e-05	2704216	2704365	4.29	2.05687843925124e-08	1.18542096133168e-05
chr1	2716621	2716890	270	13.61;7.05	1.84;0.00;1.06	10.33	0.97	NA	NA	Up	3.42	1.40548578684275e-07	7.08036234553497e-05	2716651	2716800	4.68	3.02314290311051e-07	0.000117690693119762
chr1	2717281	2717475	195	6.81;8.46	0.92;1.18;0.00	7.63	0.70	NA	NA	Up	3.45	2.64386519165429e-05	0.00557479109075929	2717281	2717430	3.81	1.0543037440931e-05	0.0023677542066892
chr1	2757016	2757345	330	26.09;22.56	5.52;4.14;3.18	24.33	4.28	NA	NA	Up	2.51	4.0034798106385e-09	1.00052459953312e-05	2757121	2757270	2.87	4.33709410677993e-09	5.51959329387533e-06
chr1	2784616	2784765	150	7.94;11.28	1.84;2.36;1.06	9.61	1.76	NA	NA	Up	2.45	7.76613590810787e-05	0.0127823924563574	2784616	2784765	2.45	7.76613590810787e-05	0.0120890451851756
chr1	2792476	2792850	375	40.84;55.00	5.52;4.73;3.18	47.92	4.48	NA	NA	Up	3.42	7.63395285285889e-07	0.000287792846865416	2792506	2792655	4.47	2.08474091940276e-09	5.51959329387533e-06
chr1	2829811	2830065	255	10.21;16.92	2.76;1.18;2.12	13.57	2.02	NA	NA	Up	2.75	9.20920392767333e-07	0.000335219012102674	2829871	2830020	3.19	7.041768428016e-07	0.000240126752706103
chr1	2862916	2863140	225	32.90;18.33	10.13;11.23;6.36	25.62	9.24	NA	NA	Up	1.47	3.8450635012566e-05	0.00753258952622449	2862946	2863095	1.81	1.25269565804618e-06	0.000401566441214256
chr1	2976766	2977065	300	9.07;14.10	0.00;0.59;2.12	11.59	0.90	NA	NA	Up	3.68	1.74186641544771e-07	8.29204065356261e-05	2976811	2976960	3.96	7.96004793411615e-08	3.63724517581544e-05
chr1	2982691	2983200	510	55.58;63.46	3.68;1.18;2.12	59.52	2.33	NA	NA	Up	4.68	1.66987304652392e-08	1.56081211657279e-05	2982796	2982945	4.46	1.3495158851882e-09	5.51959329387533e-06
chr1	2986201	2986440	240	27.22;40.90	12.89;6.50;16.96	34.06	12.12	NA	NA	Up	1.49	7.77334639261709e-06	0.00207747538476854	2986231	2986380	1.63	5.03077699130922e-07	0.00017791136154558
chr1	2999716	2999985	270	10.21;9.87	0.00;1.77;0.00	10.04	0.59	NA	NA	Up	4.09	2.36349991126578e-07	0.000106917501894677	2999836	2999985	4.14	1.05394421771238e-05	0.0023677542066892
chr1	3089161	3089325	165	5.67;8.46	0.00;1.77;0.00	7.07	0.59	NA	NA	Up	3.58	0.000144410596876227	0.0220276837878739	3089176	3089325	3.43	8.52083779423735e-05	0.0128737655720277
chr1	3266296	3266625	330	34.03;39.49	11.05;10.64;8.48	36.76	10.06	NA	NA	Up	1.87	5.36968081546614e-09	1.00052459953312e-05	3266416	3266565	1.94	8.93135906721832e-09	6.56728200073272e-06
chr1	3339196	3339465	270	7.94;8.46	0.00;0.00;0.00	8.20	0.00	NA	NA	Up	inf	1.41637634770737e-07	7.11288965897771e-05	3339256	3339405	inf	4.46281273741559e-07	0.000164587134755029
chr1	3356296	3356505	210	5.67;7.05	0.00;0.00;1.06	6.36	0.35	NA	NA	Up	4.17	3.8292397620142e-05	0.00750242323009673	3356311	3356460	inf	5.16720758928411e-06	0.00131051093164078
chr1	3370981	3371130	150	26.09;26.79	2.76;6.50;14.84	26.44	8.03	NA	NA	Up	1.72	8.53843364182869e-05	0.0135732943687052	3370981	3371130	1.72	8.53843364182869e-05	0.012894920050235
chr1	3388396	3388620	225	26.09;28.21	9.21;10.64;8.48	27.15	9.44	NA	NA	Up	1.52	3.71170702923647e-06	0.00111908823040226	3388441	3388590	1.64	5.10548564803724e-06	0.00131051093164078
chr1	3408361	3408540	180	15.88;32.44	7.37;10.04;8.48	24.16	8.63	NA	NA	Up	1.49	2.79316666156578e-05	0.00582014600956253	3408391	3408540	1.62	1.50618269696996e-05	0.00318622639902182
chr1	3450016	3450375	360	35.17;25.38	1.84;3.55;5.30	30.28	3.56	NA	NA	Up	3.09	5.699582164678e-08	3.59471506395e-05	3450136	3450285	3.06	2.66860239233348e-09	5.51959329387533e-06
chr1	3553471	3553725	255	5.67;9.87	0.00;0.59;0.00	7.77	0.20	NA	NA	Up	5.30	5.5264697189811e-06	0.00154949514264346	3553501	3553650	inf	5.9165573423934e-07	0.000205610620839311
chr1	3559966	3560175	210	2.27;9.87	0.92;0.00;0.00	6.07	0.31	NA	NA	Up	4.31	4.7311048901852e-05	0.0089590596437124	3560026	3560175	inf	2.49543240386378e-05	0.00483866838267399
chr1	3589921	3590175	255	13.61;8.46	0.00;0.59;4.24	11.04	1.61	NA	NA	Up	2.78	6.70527896829118e-07	0.000257625927681051	3589981	3590130	3.28	1.33362638926137e-07	5.78099030642303e-05
chr1	3593716	3593925	210	7.94;2.82	0.00;0.00;0.00	5.38	0.00	NA	NA	Up	inf	1.91724913513915e-05	0.00431346303536608	3593716	3593865	inf	6.13968781311781e-05	0.00999323381847842
chr1	3606541	3606825	285	19.28;22.56	3.68;5.32;5.30	20.92	4.77	NA	NA	Up	2.13	2.94891394420367e-07	0.000128810093934124	3606646	3606795	2.32	3.8961873093323e-05	0.00702449373872859
chr1	3643801	3644280	480	68.06;69.10	0.00;0.00;3.18	68.58	1.06	NA	NA	Up	6.02	3.15297224631324e-08	2.40658652779553e-05	3644056	3644205	inf	1.04155008500287e-09	5.51959329387533e-06
chr1	3702166	3702375	210	55.58;60.64	34.07;23.04;34.98	58.11	30.70	NA	NA	Up	0.92	0.000103269997031061	0.0159999860290372	3702181	3702330	1.02	2.31318485695224e-05	0.00457066523879701
chr1	3727486	3727665	180	9.07;8.46	2.76;1.18;1.06	8.77	1.67	NA	NA	Up	2.39	3.78453097289566e-05	0.00747289274131649	3727516	3727665	2.39	3.78453097289566e-05	0.00690512592667232
chr1	3731521	3731805	285	14.75;7.05	0.00;0.00;0.00	10.90	0.00	NA	NA	Up	inf	8.25219876265838e-09	1.06776901131261e-05	3731581	3731730	inf	1.08864925092608e-08	7.43559981635928e-06
chr1	3786481	3786660	180	6.81;7.05	0.92;1.18;0.00	6.93	0.70	NA	NA	Up	3.31	0.000144410086762189	0.0220276837878739	3786481	3786630	3.18	8.52096959504026e-05	0.0128737655720277
chr1	3823846	3824085	240	39.70;45.13	12.89;8.27;24.38	42.42	15.18	NA	NA	Up	1.48	2.9440228520374e-05	0.0060763701974625	3823906	3824055	1.74	2.18477261110721e-07	8.83062971464181e-05
chr1	3831046	3831240	195	9.07;4.23	0.00;0.59;0.00	6.65	0.20	NA	NA	Up	5.08	2.04527190307146e-05	0.0045628421154655	3831091	3831240	inf	6.090579516363e-06	0.0015142297884572
chr1	4108231	4108425	195	5.67;5.64	0.00;0.00;0.00	5.66	0.00	NA	NA	Up	inf	1.65143310251072e-05	0.00381241376833876	4108231	4108380	inf	1.65143310251072e-05	0.00339973209599321
chr1	4233286	4233495	210	27.22;18.33	6.45;10.04;10.60	22.78	9.03	NA	NA	Up	1.33	0.000191810835117477	0.029042234067436	4233301	4233450	1.62	3.11979445502976e-05	0.0058587628351919
chr1	4422766	4423020	255	11.34;11.28	0.92;1.18;1.06	11.31	1.05	NA	NA	Up	3.42	1.62502450598691e-07	7.87604880676615e-05	4422781	4422930	3.65	4.17276874026706e-08	2.07778097815127e-05
chr1	4482601	4482900	300	11.34;14.10	1.84;1.18;0.00	12.72	1.01	NA	NA	Up	3.66	6.13944320011307e-08	3.79748771087877e-05	4482691	4482840	3.34	4.86727023109566e-07	0.00017322793777039
chr1	4615681	4615950	270	19.28;9.87	2.76;2.95;2.12	14.58	2.61	NA	NA	Up	2.48	2.83496806212234e-06	0.00088734450061207	4615696	4615845	2.62	1.40712273032204e-06	0.000440946515519974
chr1	4716421	4716660	240	32.90;31.03	11.05;16.54;2.12	31.96	9.90	NA	NA	Up	1.69	0.000305283565684592	0.0458456107036542	4716496	4716645	2.21	6.28406349577792e-07	0.000216590680909274
chr1	4761001	4761180	180	9.07;5.64	1.84;0.59;0.00	7.36	0.81	NA	NA	Up	3.18	3.18112648190232e-05	0.00647262957999268	4761031	4761180	4.47	1.27955394975952e-05	0.00278069218982542
chr1	4828741	4828890	150	5.67;14.10	3.68;0.59;3.18	9.89	2.48	NA	NA	Up	1.99	9.23638353497677e-05	0.0144896269619422	4828741	4828890	1.99	9.23638353497677e-05	0.0137908294859876
chr1	4838026	4838175	150	3.40;9.87	0.92;1.18;0.00	6.64	0.70	NA	NA	Up	3.24	8.788678286032e-05	0.0139022221679927	4838026	4838175	3.24	8.788678286032e-05	0.0132151661985452
chr1	5680591	5680755	165	7.94;12.69	0.92;2.95;0.00	10.32	1.29	NA	NA	Up	3.00	2.05463039860682e-05	0.0045812415217949	5680606	5680755	3.00	2.05463039860682e-05	0.00411974989434003
chr1	5710846	5710995	150	3.40;7.05	0.00;0.00;0.00	5.23	0.00	NA	NA	Up	inf	5.03098427779951e-05	0.00936710565324209	5710846	5710995	inf	5.03098427779951e-05	0.00868278018400279
chr1	5779276	5779500	225	23.82;15.51	3.68;3.55;8.48	19.67	5.24	NA	NA	Up	1.91	5.66076353477727e-07	0.000221644326258636	5779336	5779485	1.87	6.451639911373e-06	0.00158611922403463
chr1	5919016	5919255	240	7.94;15.51	2.76;1.18;2.12	11.73	2.02	NA	NA	Up	2.54	8.54109381293398e-06	0.00224994901687235	5919091	5919240	2.35	2.64151230867607e-05	0.00506896841965926
chr1	5920306	5920665	360	13.61;22.56	0.00;1.18;1.06	18.09	0.75	NA	NA	Up	4.60	8.79482829833007e-08	4.93627207223847e-05	5920396	5920545	6.15	7.14735205885598e-09	6.01416354895803e-06
chr1	5968591	5968845	255	6.81;15.51	0.92;1.18;0.00	11.16	0.70	NA	NA	Up	3.99	9.19507049324009e-08	5.09625519281637e-05	5968606	5968755	5.47	5.69832025716499e-07	0.000199203365086713
chr1	5987251	5987400	150	5.67;7.05	0.00;1.18;1.06	6.36	0.75	NA	NA	Up	3.09	8.52103343980163e-05	0.0135524923978781	5987251	5987400	3.09	8.52103343980163e-05	0.0128737655720277
chr1	6033931	6034155	225	7.94;8.46	1.84;0.00;0.00	8.20	0.61	NA	NA	Up	3.74	3.22262941885915e-06	0.000984040269605007	6033946	6034095	4.74	1.31762695037157e-06	0.00041694772150028
chr1	6052711	6052890	180	9.07;5.64	1.84;0.59;1.06	7.36	1.16	NA	NA	Up	2.66	5.1167307925933e-05	0.00950069340548595	6052711	6052860	2.66	5.1167307925933e-05	0.00880836895188162
chr1	6088681	6088950	270	14.75;12.69	0.92;2.36;2.12	13.72	1.80	NA	NA	Up	2.93	1.02197712965802e-07	5.53553065336894e-05	6088756	6088905	2.94	3.51473198995846e-07	0.000134776682736979
chr1	6140761	6140985	225	34.03;45.13	21.18;15.95;13.78	39.58	16.97	NA	NA	Up	1.22	8.47169109197893e-06	0.00223333342817113	6140836	6140985	1.52	3.71497101538801e-06	0.00101797878044381
chr1	6170026	6170175	150	6.81;5.64	0.92;0.00;2.12	6.22	1.01	NA	NA	Up	2.62	8.52123464213334e-05	0.0135524923978781	6170026	6170175	2.62	8.52123464213334e-05	0.0128737655720277
chr1	6214861	6215130	270	12.48;11.28	1.84;0.59;3.18	11.88	1.87	NA	NA	Up	2.67	8.7940850186846e-07	0.00032369165058693	6214891	6215040	2.78	1.58657561961281e-06	0.000476889608227116
chr1	6240511	6240660	150	20.42;18.33	1.84;3.55;8.48	19.38	4.62	NA	NA	Up	2.07	1.96665312086158e-06	0.000646282867004206	6240511	6240660	2.07	1.96665312086158e-06	0.00058210986175991
chr1	6268681	6269115	435	52.18;52.18	0.92;0.59;4.24	52.18	1.92	NA	NA	Up	4.77	3.64398079803299e-09	1.00052459953312e-05	6268846	6268995	6.78	1.16042879910598e-09	5.51959329387533e-06
chr1	6269236	6269655	420	61.26;46.54	2.76;0.59;3.18	53.90	2.18	NA	NA	Up	4.63	1.08476685446956e-06	0.000390829006679144	6269296	6269445	4.85	1.71312523500168e-09	5.51959329387533e-06
chr1	6269791	6270015	225	27.22;33.85	14.73;10.04;15.90	30.54	13.56	NA	NA	Up	1.17	5.67229243625691e-05	0.0100760339451864	6269806	6269955	1.38	1.24243135475871e-05	0.00273107861824017
chr1	6287371	6287520	150	17.02;14.10	2.76;4.14;7.42	15.56	4.77	NA	NA	Up	1.70	3.37424211747974e-05	0.00681400978917741	6287371	6287520	1.70	3.37424211747974e-05	0.00628869273921442
